observer,orientation,reported,rt
1,135,137,1.08297862216932
1,65,56,0.988793127842655
1,61,65,1.50677478373109
1,27,25,1.90702052882989
1,22,20,2.02474431096562
1,110,122,1.95411483094358
1,70,71,1.90706189062985
1,147,152,1.80109823366729
1,48,30,3.74357173800672
1,172,159,2.09542510450046
1,120,72,2.99012137046157
1,117,120,0.765097291983693
1,174,176,1.51849914492777
1,171,179,1.84816734550986
1,112,83,1.69513457669746
1,128,53,2.27200891175744
1,109,121,1.36552608639249
1,120,116,3.55514974683683
1,72,49,1.63630067482154
1,23,23,1.44786220112655
1,63,54,2.20134553371827
1,38,53,1.31844266896223
1,92,109,1.78935179210021
1,178,74,1.60092420309593
1,48,59,1.35370438500468
1,2,20,1.35370158608566
1,38,30,2.36609924283039
1,142,158,1.30666295136325
1,12,20,1.08297551225405
1,53,62,3.849543169752
1,131,144,1.51858622241343
1,77,66,1.29485493357424
1,53,44,1.57735730410786
1,106,114,1.91883383345703
1,148,151,2.10715319759402
1,173,14,3.97898664822424
1,155,140,1.69512742390361
1,94,103,2.84882011564696
1,90,93,2.35438825424353
1,28,6,3.14314823044697
1,98,105,3.10782120628937
1,133,119,1.74217912025051
1,132,120,2.84888169186524
1,162,125,1.05939119777031
1,74,77,2.44858245631258
1,121,111,1.4832088177136
1,83,75,2.42503701570604
1,0,0,2.30736050420091
1,82,69,1.83641530610475
1,145,145,1.29490624709433
1,50,35,2.50747451350981
1,162,154,1.93055290781194
1,26,33,1.48317896257504
1,140,136,1.67158011734864
1,109,119,3.27261285630811
1,97,117,1.61271418339675
1,49,66,3.93195889818526
1,173,177,1.63631746833198
1,39,37,2.22487697972974
1,103,122,1.69516443183238
1,168,146,1.90702830360169
1,2,30,2.21306865095539
1,130,111,1.91876914732711
1,27,36,1.13008940680811
1,152,15,3.64937007215485
1,19,31,1.49499599910268
1,12,10,2.38971714434592
1,56,27,2.11899511340016
1,68,79,2.28373296196878
1,176,178,2.08359034148816
1,23,32,2.26022950514744
1,114,118,0.941666171671386
1,58,58,1.38905846537818
1,59,60,1.47145304642254
1,60,77,2.64869988651844
1,65,62,1.6951470163367
1,100,69,2.31906962684297
1,15,19,1.37732384147239
1,23,32,4.74420242778069
1,146,132,2.40143279779659
1,99,113,1.1771047172042
1,85,74,0.823980641431262
1,88,87,1.47144900354033
1,2,3,1.23598620070698
1,20,24,1.91884036426927
1,63,54,1.5774058187053
1,179,14,2.30730203789062
1,7,6,2.04832644851194
1,110,116,1.30663371820265
1,150,146,1.81290500748219
1,23,27,1.84817232136265
1,82,112,2.28377028089017
1,156,166,2.69580725025662
1,89,91,0.953424741885101
1,15,13,0.89461292037231
1,15,18,0.52964599581901
1,35,32,1.42439575223398
1,107,117,1.74220990835965
1,56,53,1.35367701779251
1,88,78,1.58921912333244
1,58,70,1.71863927747836
1,125,113,2.00120353521925
1,153,145,1.63629787589889
1,100,82,1.62451909127049
1,155,149,1.84814961901793
1,119,122,2.50745771999573
1,130,113,2.49565343410359
1,113,117,1.87171931692501
1,175,33,3.35507243447137
1,82,67,2.01298853966728
1,122,67,1.5420340118435
1,36,50,2.61343443858277
1,125,128,2.06006013944352
1,115,125,0.906385796170071
1,3,1,1.65978080731293
1,179,172,2.93116089524483
1,16,33,1.57740022086364
1,29,38,1.07119112979126
1,78,92,2.0365240285646
1,105,107,1.33020123917231
1,42,29,3.26090373366242
1,98,110,5.9921079810556
1,44,36,1.53031213856957
1,115,69,0.906392637971294
1,36,41,1.51848639429954
1,163,157,1.31840721598564
1,2,7,1.00055822886861
1,114,109,1.54207164175386
1,31,47,1.45966399908866
1,4,6,1.43614094983423
1,134,145,1.44794958960119
1,60,71,0.882846264390537
1,143,146,1.04765564089757
1,101,115,1.15358042398657
1,134,122,1.13012268284365
1,76,72,1.18889905138349
1,140,126,1.15359908344908
1,118,113,1.55377920944375
1,26,34,2.17778205563081
1,39,51,1.50673497687967
1,108,114,1.31838948950099
1,1,5,2.02483232141822
1,19,21,2.1071426239032
1,118,124,1.45965093746781
1,141,142,1.38904820267271
1,18,33,1.49498449243401
1,102,101,1.77753599954303
1,94,95,1.29480704096204
1,21,50,1.4832240562755
1,147,133,2.04833888815119
